Название книги,Имя автора,Издательство,Цена,Старая цена,Скидка
Программирование на C# для начинающих. Основные сведения,Васильев Алексей Николаевич,Бомбора:Российский компьютерный бестселлер,1 540,Нету старой цены,Нету скидки
Алгоритмы для чайников,"Массарон Лука, Мюллер Джон Пол","Диалектика:Для ""чайников""",1 936,3 227,40
Хакинг. Искусство эксплойта,Эриксон Джон,Питер,1 974,2 531,22
Глубокое обучение на Python,Шолле Франсуа,Питер:Библиотека программиста,1 758,2 254,22
C# 7.0. Справочник. Полное описание языка,"Албахари Джозеф, Албахари Бен",Диалектика,4 086,6 810,40
Java SE 9. Базовый курс,Хорстманн Кей С.,Диалектика,4 086,6 810,40
LabVIEW в научных исследованиях,Евдокимов Юрий Кириллович и др.,ДМК-Пресс:Все о LabVIEW,1 256,2 093,40
Python. Разработка на основе тестирования,Персиваль Гарри,ДМК-Пресс,3 184,5 306,40
"Чистый код. Создание, анализ и рефакторинг",Мартин Роберт С.,Питер,973,1 247,22
Разработка одностраничных веб-приложений,"Миковски Майкл С., Пауэлл Джош К.",ДМК-Пресс,1 340,2 233,40
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику,Феррейра Фило Владстон,Питер:Библиотека программиста,921,1 181,22
Программирование искусственного интеллекта в приложениях,Джонс М. Тим,ДМК-Пресс:Для программистов,1 172,1 953,40
Программирование на Ардуино. От простого к сложному,Мамичев Дмитрий Иванович,Солон-пресс:Радиоэлектроника,956,1 593,40
,,,0,Нету старой цены,Нету скидки
Запускаем Ansible,"Хохштейн Лорин, Мозер Рене",ДМК-Пресс,2 009,3 349,40
Современный Java. Рецепты программирования,Коузен Кен,ДМК-Пресс,1 340,2 233,40
Сам себе программист. Как научиться программировать и устроиться в Ebay?,Альтхофф Кори,Бомбора:Мировой компьютерный бестселлер,1 006,Нету старой цены,Нету скидки
"Программное обеспечение геодезии, фотограм, кадастра, инж.из.",Браверман Борис Аронович,Инфра-Инженерия,896,1 493,40
Собираем устройства для тестов на проникновение,Бирюков Андрей Александрович,ДМК-Пресс,1 925,3 209,40
Java. Карманный справочник,"Лигуори Роберт, Лигуори Патрисия",Диалектика,1 613,2 688,40
Чистая архитектура. Искусство разработки программного обеспечения,Мартин Роберт С.,Питер:Библиотека программиста,1 115,1 430,22
Объектно Ориентированное Программирование,Гаско Рик,Солон-пресс:Программирование,1 106,1 844,40
Простая Математика для Простых Программистов,Гаско Рик,Солон-пресс:Программирование,922,1 537,40
Простой учебник программирования,Гаско Рик,Солон-пресс:Программирование,1 006,1 676,40
Потоковая обработка данных. Конвейер реального времени,Пселтис Эндрю Дж.,ДМК-Пресс,1 256,2 093,40
Java для чайников,Берд Барри,"Диалектика:Для ""чайников""",2 474,4 123,40
Психбольница в руках пациентов. Алан Купер об интерфейсах,Купер Алан,Питер:Библиотека программиста,1 528,1 959,22
"Высоконагруженные приложения. Программирование, масштабирование, поддержка",Клеппман Мартин,Питер:Бестселлеры O`Reilly,2 962,3 798,22
,,,0,Нету старой цены,Нету скидки
Глубокое обучение с точки зрения практика,"Паттерсон Джош, Гибсон Адам",ДМК-Пресс,2 177,3 628,40
Релевантный поиск с использованием Elasticsearch и Solr,"Тарнбулл Даг, Берримен Джон",ДМК-Пресс,2 177,3 628,40
Программирование на языке Rust. Цветное издание,"Блэнди Джим, Орендорф Джейсон",ДМК-Пресс,3 021,5 035,40
Алгоритмы для начинающих. Теория и практика для разработчика,Луридас Панос,Бомбора:Мировой компьютерный бестселлер,1 670,Нету старой цены,Нету скидки
Язык С в XXI веке,Клеменс Бен,ДМК-Пресс,1 591,2 652,40
Android. Сборник рецептов. Задачи и решения для разработчиков приложений,Дарвин Ян Ф.,Диалектика,4 086,6 810,40
Официальное руководство Cisco по подготовке к сертификационным экзаменам CCENT/CCNA ICND1 100-105,Одом Уэнделл,Диалектика,8 064,13 440,40
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров,Абельская Раиса Шолемовна,Флинта,202,336,40
Анализ социальных медиа на Python,Бонцанини Марко,ДМК-Пресс,1 841,3 069,40
Глубокое обучение (цветная),Бенджио Иошуа и др.,ДМК-Пресс,3 350,5 583,40
"Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD)",Сизиков Валерий Сергеевич,Лань:Учебники для вузов. Специальная литература,4 002,Нету старой цены,Нету скидки
Функциональное программирование на JavaScript. Как улучшить код JavaScript-программ,Атенсио Луис,Вильямс,3 227,5 378,40
Разработка операционной системы и компилятора. Проект Оберон,"Вирт Никлаус, Гуткнехт Юрг",ДМК-Пресс:Классика программирования,1 841,3 069,40
CodeVisionAVR. Пособие для начинающих,Лебедев Михаил Борисович,ДМК-Пресс:Программируемые системы,1 172,1 953,40
"Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET",Ховард Майкл и др.,ДМК-Пресс,837,1 395,40
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,2 480,3 179,22
Искусство алгоритмизации,Потопахин Виталий Валерьевич,ДМК-Пресс,922,1 536,40
Java 9. Полный обзор нововведений,Кишори Шаран,ДМК-Пресс:Программирование,1 676,2 793,40
Kotlin в действии,"Жемеров Дмитрий Борисович, Исакова Светлана Сергеевна",ДМК-Пресс,1 676,2 793,40
Конкурентное программирование на Scala,Прокопец Александр,ДМК-Пресс,1 423,2 372,40
Крупномасштабное машинное обучение вместе с Python,Шарден Бастиан и др.,ДМК-Пресс,1 841,3 069,40
Программирование на Clojure,Эмерик Чаз и др.,ДМК-Пресс:Функциональное программирование,2 848,4 746,40
C# 7.0. Карманный справочник. Скорая помощь для программистов на C# 7.0,"Албахари Джозеф, Албахари Бен",Вильямс,1 291,2 152,40
Адаптивный код. Гибкое кодирование с помощью паттернов проектирования и принципов SOLID,Холл Гэри Маклин,Диалектика,3 227,5 378,40
Секреты JavaScript ниндзя,Резиг Джон и др.,Диалектика,4 086,6 810,40
Курс программирования на языке Си. Учебник,"Подбельский Вадим Валерьевич, Фомин Сергей Сергеевич",ДМК-Пресс,1 508,2 513,40
СУБД для программиста. Базы данных изнутри,Тарасов Сергей Витальевич,Солон-пресс:Библиотека профессионала,1 927,3 212,40
Объектно-ориентированное программирование в С++,Лафоре Роберт,Питер:Классика computer science,2 539,3 255,22
Язык программирования C++. Базовый курс,Липпман Стенли Б. и др.,Вильямс,5 699,9 498,40
Машинное обучение с использованием библиотеки Н2О,Кук Даррен,ДМК-Пресс,1 340,2 233,40
Программирование. Принципы и практика с использованием C++,Страуструп Бьярне,Вильямс,6 451,10 752,40
Создаем нейронную сеть,Рашид Тарик,Вильямс,3 227,5 378,40
Библиотека Keras - инструмент глубокого обучения,"Джулли Антонио, Пал Суджит",ДМК-Пресс,1 508,2 513,40
Визуализация данных с помощью библиотеки D3.js 4.x,"Рининсланд Эндрю, Свизек Теллер",ДМК-Пресс,1 172,1 953,40
Шаблоны корпоративных приложений,Фаулер Мартин,Диалектика:,4 840,8 066,40
Raspberry Pi. Сборник рецептов. Решение программных и аппаратных задач,Монк Саймон,Диалектика,3 227,5 378,40
JavaScript в примерах и задачах,,Эксмо-Пресс:Российский компьютерный бестселлер,1 455,Нету старой цены,Нету скидки
Visual C# 2.0.NET. Полное руководство,"Прайс Дебора, Гандэрлой Майк",Корона-Принт:,620,1 033,40
Предметно-ориентированное проектирование (DDD). Структуризация сложных программных систем,Эванс Эрик,Вильямс,6 451,10 752,40
Язык программирования C++. Лекции и упражнения,Прата Стивен,Диалектика,6 451,10 752,40
C++ для чайников,Дэвис Стефан Рэнди,"Диалектика:Для ""чайников""",1 613,2 688,40
"Программирование командных оболочек в Unix, Linux и OS X","Кочан Стефан, Вуд Патрик",Диалектика,3 227,5 378,40
Рефакторинг. Улучшение проекта существующего кода,Бек Кент и др.,Диалектика,4 086,6 810,40
Изучаем программирование на Python,Бэрри Пол,Эксмо:Мировой компьютерный бестселлер,2 178,Нету старой цены,Нету скидки
,,,0,Нету старой цены,Нету скидки
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL,"Редмонд Эрик, Уилсон Джим Р.",ДМК-Пресс,1 508,2 513,40
jQuery в действии,Бибо Беэр и др.,Питер:Для профессионалов,1 415,1 814,22
Шаблоны проектирования Node.JS,"Касиаро Марио, Маммино Лучано",ДМК-Пресс,1 925,3 209,40
Разработка современных веб-приложений. Анализ предметных областей и технологий,Эспозито Дино,Вильямс,2 689,4 482,40
Vulkan. Руководство разработчика,"Селлерс Грехем, Кессенич Джон",ДМК-Пресс,2 093,3 489,40
Android. Программирование для профессионалов,Филлипс Билл и др.,Питер:Для профессионалов,1 517,1 945,22
Теория и практика языков программирования. Учебник,Орлов Сергей Александрович,Питер:Учебник для вузов,2 099,2 691,22
Среда динамического моделирования технических систем SimInTech. Практикум по моделированию систем,Карташов Борис Александрович и др.,ДМК-Пресс,2 009,3 349,40
"Алгоритмы. Справочник с примерами на C, C++, Java и Python",Хайнеман Джордж и др.,Вильямс,3 227,5 378,40
Изучаем JavaScript. Руководство по созданию современных веб-сайтов,Браун Этан,Вильямс,2 474,4 123,40
Изучаем OpenCV 3,"Кэлер Адриан, Брэдски Гэри",ДМК-Пресс,3 685,6 141,40
Семь языков за семь недель. Практическое руководство по изучению языков программирования,Тейт Брюс,ДМК-Пресс,1 423,2 372,40
Программирование на Java для начинающих,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,1 530,Нету старой цены,Нету скидки
Javascript и jQuery. Интерактивная веб-разработка,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,2 966,Нету старой цены,Нету скидки
Предметно-ориентированное проектирование. Самое основное,Вернон Вон,Диалектика,2 474,4 123,40
Введение в Elixir. Введение в функциональное программирование,"Сенлорен Симон, Эйзенберг Дэвид",ДМК-Пресс,1 172,1 953,40
,,,0,Нету старой цены,Нету скидки
Моделирование аукционов,Демешев Борис Борисович,ДМК-Пресс,1 088,1 813,40
Как самому написать мобильную 2D-игру,Язев Юрий Евгеньевич,Солон-пресс,922,1 537,40
Python и машинное обучение,Рашка Себастьян,ДМК-Пресс,2 680,4 466,40
Проектирование пользовательского интерфейса в Android,Клифтон Ян,ДМК-Пресс,1 676,2 793,40
"Прикладная криптография. Протоколы, алгоритмы и исходный код на C",Шнайер Брюс,Диалектика,8 064,13 440,40
ASP.NET Core MVC с примерами на C# для профессионалов,Фримен Адам,Диалектика,5 699,9 498,40
"Стек, или Путешествие туда и обратно",Вторников Алексей Анатольевич,ДМК-Пресс,754,1 256,40
Программирование на Visual Basic для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих (обложка),890,Нету старой цены,Нету скидки
Реактивное программирование с использованием RxJava,"Нуркевич Томаш, Кристенсен Бен",ДМК-Пресс,1 591,2 652,40
Изучаем PHP 7. Руководство по созданию интерактивных веб-сайтов,Скляр Дэвид,Диалектика,3 227,5 378,40
Не заставляйте меня думать. Веб-юзабилити и здравый смысл,Круг Стив,Эксмо-Пресс:Мировой компьютерный бестселлер,1 172,Нету старой цены,Нету скидки
Go на практике,"Батчер Мэтт, Фарина Мэтт",ДМК-Пресс,1 508,2 513,40
Использование Docker,Моуэт Эдриен,ДМК-Пресс,1 663,2 772,40
Методы разработки математических моделей и вычислительный эксперимент на базе пакета MATLAB,Плохотников Константин Эдуардович,Солон-пресс,1 564,2 607,40
Цифровая обработка сигналов на языке Python,Дауни Аллен Б.,ДМК-Пресс,1 004,1 674,40
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,1 064,Нету старой цены,Нету скидки
Cassandra. Полное руководство,"Карпентер Джефф, Хьюитт Эбен",ДМК-Пресс,1 591,2 652,40
Изучаем Angular 2,Дилеман Пабло,ДМК-Пресс,1 172,1 953,40
Разработка обслуживаемых программ на языке C#,Виссер Джуст,ДМК-Пресс,1 088,1 813,40
Разработка обслуживаемых программ на языке Java,Виссер Джуст,ДМК-Пресс,1 088,1 813,40
XBRL для чайников,"Хоффман Чарльз, Уотсон Лив","Диалектика:Для ""чайников""",2 474,4 123,40
Разработка геоприложений на языке Python,Вестра Эрик,ДМК-Пресс,1 841,3 069,40
Инженерия требований,Халл Элизабет и др.,ДМК-Пресс,1 508,2 513,40
Программирование PIC - микроконтроллеров на PicBasic,Хелибайк Чак,Додека XXI век:Программируемые системы,754,1 256,40
Введение в современные САПР. Курс лекций,Малюх Владимир Николаевич,ДМК-Пресс:САПР от А до Я,586,976,40
Функциональное программирование на F#,Сошников Дмитрий Валерьевич,ДМК-Пресс,922,1 536,40
Скользкие места С++. Как избежать проблем  при проектировании и компиляции ваших программ,Дьюхэрст Стефан К.,ДМК-Пресс:Профессиональная серия от Addison-Wesley,922,1 536,40
Программируем микрокомпьютер NXT в LabVIEW,"Белиовская Лидия Георгиевна, Белиовский Александр Евгеньевич",ДМК-Пресс:Все о LabVIEW,562,936,40
Dart в действии,Баккет Крис,ДМК-Пресс,1 758,2 930,40
MATLAB. Полный самоучитель,Дьяконов Владимир Павлович,ДМК-Пресс,2 512,4 187,40
С для программистов с введением в С11,"Дейтел Пол Дж., Дейтел Харви",ДМК-Пресс,1 758,2 930,40
Параллельное и конкурентное программирование на Haskell,Марлоу Саймон,ДМК-Пресс:Функциональное программирование,1 340,2 233,40
Практическое использование Common Lisp,Сайбель Питер,ДМК-Пресс:Функциональное программирование,2 177,3 628,40
Сбор данных в Интернете на языке R,Храмов Дмитрий Александрович,ДМК-Пресс,1 423,2 372,40
Unity 5.x. Программирование искусственного интеллекта в играх,Паласиос Хорхе,ДМК-Пресс,1 508,2 513,40
Программирование микроконтроллеров. Стратегия и тактика,Матюшин Андрей Олегович,ДМК-Пресс,1 841,3 069,40
Ruby on Rails для начинающих. Изучаем разработку веб-приложений на основе Rails,Хартл Майкл,ДМК-Пресс,2 177,3 628,40
Программирование и отладка С/С++ приложений для микроконтроллеров ARM,Магда Юрий Степанович,ДМК-Пресс,754,1 256,40
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ,Мэйерс Скотт,ДМК-Пресс:Профессиональная серия от Addison-Wesley,1 172,1 953,40
"Assembler. Для DOS, Windows и Unix",Зубков Сергей Владимирович,ДМК-Пресс:Для программистов,1 676,2 793,40
Лямбда-выражения в Java 8. Функциональное программирование - в массы,Уорбэртон Ричард,ДМК-Пресс:Функциональное программирование,1 004,1 674,40
Системная инженерия. Принципы и практика,Косяков Александр и др.,ДМК-Пресс,2 345,3 908,40
Оптимизация приложений на платформе .Net,Голдштейн Саша и др.,ДМК-Пресс,2 182,3 636,40
Интерфейс. Основы проектирования взаимодействия,Купер Алан и др.,Питер:Для профессионалов,2 266,2 905,22
,,,0,Нету старой цены,Нету скидки
Аналоговые интерфейсы микроконтроллеров,Болл Стюарт Р.,Додека XXI век:Программируемые системы,1 340,2 233,40
Практическое использование Vim. Редактируйте текст со скоростью мысли,Нейл Дрю,ДМК-Пресс,1 508,2 513,40
Анализ сетей (графов) в среде R. Руководство пользователя,Люк Дуглас А.,ДМК-Пресс,1 758,2 930,40
Основы проектирования в Autodesk Inventor 2016,Зиновьев Дмитрий Валериевич,ДМК-Пресс,669,1 115,40
Bootstrap в примерах,Морето Сильвио,ДМК-Пресс,1 172,1 953,40
Изучай Haskell во имя добра!,Липовача Миран,ДМК-Пресс,1 508,2 513,40
Matlab & Simulink. Проектирование мехатронных систем на ПК. Учебное пособие для ВУЗов + CD,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,450,750,40
10 практических устройств на AVR-микроконтроллерах. Книга 2 +CD,Кравченко Алексей Владимирович,Корона-Принт,395,658,40
Вычислительная геометрия. Алгоритмы и приложения,Де Берг Марк и др.,ДМК-Пресс,2 680,4 466,40
Разработка веб-приложений в ReactJS,"Хортон Адам, Вайс Райан",ДМК-Пресс,1 508,2 513,40
Введение в статистическое обучение с примерами на языке R,Джеймс Гарет и др.,ДМК-Пресс,2 512,4 187,40
Современное программирование с нуля!,Потопахин Виталий Валерьевич,ДМК-Пресс:Учебное пособие,1 340,2 233,40
Программирование на языке Lua,Иерузалимски Роберту,ДМК-Пресс,1 423,2 372,40
Android NDK. Руководство для начинающих,Ретабоуил Сильвен,ДМК-Пресс,1 678,2 797,40
Скрапинг веб-сайтов с помощью Python. Сбор данных из современного интернета,Митчелл Райан,ДМК-Пресс,1 423,2 372,40
PIC-микроконтроллеры: архитектура и программирование,Предко Майкл,ДМК-Пресс:,1 508,2 513,40
,,,0,Нету старой цены,Нету скидки
Управление электронными устройствами на С++. Разработка практических приложений,"Катупития Янта, Бентли Ким",ДМК-Пресс,1 841,3 069,40
C# 6.0. Справочник. Полное описание языка,"Албахари Джозеф, Албахари Бен",Вильямс,4 086,6 810,40
LabVIEW: стиль программирования,Блюм Питер,ДМК-Пресс:LabVIEW,754,1 256,40
Искусство автономного тестирования с примерами на С#,Ошероув Рой,ДМК-Пресс,1 841,3 069,40
Графовые базы данных. Новые возможности для работы,Робинсон Ян и др.,ДМК-Пресс,1 256,2 093,40
Руководство по микропроцессорному обеспечению,,ДМК-Пресс,1 591,2 652,40
Чисто функциональные структуры данных,Окасаки Крис,ДМК-Пресс,1 340,2 233,40
Программирование компьютерного зрения на языке Python,Солем Ян Эрик,ДМК-Пресс,1 508,2 513,40
"UML Проектирование систем реального времени, распределенных и параллельных приложений",Гома Хассан,ДМК-Пресс,2 093,3 489,40
"Периферийные устройства: интерфейсы, схемотехника, программирование",Авдеев Вадим Александрович,ДМК-Пресс:Все о радиоэлектронике,2 345,3 908,40
Анализ больших наборов данных,Лесковец Юре и др.,ДМК-Пресс,2 009,3 349,40
Построение компиляторов,Вирт Никлаус,ДМК-Пресс,837,1 395,40
Современный PHP. Новые возможности и передовой опыт,Локхарт Джош,ДМК-Пресс,1 423,2 372,40
MATLAB. Теория и практика,Гилат Амос,ДМК-Пресс,2 009,3 349,40
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ,Мейерс Скотт,ДМК-Пресс:Для программистов,1 172,1 953,40
Численные методы анализа и линейной алгебры. Использование Matlab и Scilab. Учебное пособие,Квасов Борис Ильич,Лань:Учебники для вузов. Специальная литература,2 141,Нету старой цены,Нету скидки
Введение в надежное и безопасное распределенное программирование,Качина Кристиан и др.,ДМК-Пресс,2 177,3 628,40
C# 6.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Вильямс,646,1 077,40
Разработка веб-приложений с использованием Flask на языке Python,Гринберг Мигель,ДМК-Пресс,1 508,2 513,40
Введение в ECMAScript 6,Прасти Нараян,ДМК-Пресс,837,1 395,40
Программирование для Windows на С/С++. В 2-х томах. Том 2,Мартынов Николай Николаевич,Бином,282,470,40
Программирование мобильных устройств на платформе .Net Compact Framework,Самре Иво,Вильямс,753,1 255,40
"Разработка приложений для iPhone, iPad и iPod touch с использованием iOS SDK",Марк Дэйв и др.,Вильямс,1 613,2 688,40
Silverlight 5 с примерами на C# для профессионалов,Мак-Дональд Мэтью,Вильямс,1 936,3 227,40
Java EE 7. Основы,Гупта Арун,Вильямс,968,1 613,40
Java SE 8. Вводный курс,Хорстманн Кей С.,Вильямс,968,1 613,40
Joomla! Для профессионалов,Рамел Дэн,Вильямс,1 613,2 688,40
Microsoft Exchange Server 2013. Полное руководство,Моримото Рэнд и др.,Вильямс,3 227,5 378,40
WinRT. программирование на C# для профессионалов,"Рихтер Джеффри, ван де Боспурт Мартен",Вильямс,1 613,2 688,40
"Программирование для iOS 7. Основы Objective-C, Xcode и Cocoa",Нойбург Мэтт,Вильямс,1 291,2 152,40
Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ,Лонг Фрэд и др.,Вильямс,861,1 435,40
Drupal 7. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,323,539,40
Joomla 2.5. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,538,896,40
C# 5.0 и платформа .NET 4.5 для профессионалов,Глинн Джей и др.,Диалектика,2 474,4 123,40
Python на практике,Саммерфилд Марк,ДМК-Пресс:Профессиональная серия программиста,1 340,2 233,40
Линейное программирование. Руководство к решению задач,Лунгу Константин Никитович,Физматлит,236,394,40
Поисковая адаптация. Теория и практика,Курейчик Виктор Михайлович и др.,Физматлит:Информационные и компьютерные технологии,515,858,40
Методы оптимальных решений. В 2 томах. Том 1. Общие положения. Математическое программирование,"Соколов Александр Валерьевич, Токарев Владислав Васильевич",Физматлит,1 262,2 103,40
Методы оптимальных решений. В 2 томах. Том 2. Многокритериальность. Динамика. Неопределенность,Токарев Владислав Васильевич,Физматлит,1 198,1 996,40
Компьютерное моделирование логических процессов. Архитектура и язык решателя задач,Подколзин Александр Сергеевич,Физматлит,1 331,2 218,40
Дизайн и эволюция языка С++,Страуструп Бьерн,ДМК-Пресс:Для программистов,1 256,2 093,40
Обработка естественного языка на Java,Риз Ричард,ДМК-Пресс,1 172,1 953,40
Теория вычислений для программистов,Стюарт Том,ДМК-Пресс:Теория программирования,1 340,2 233,40
Алгоритмы и структуры данных. Новая версия для Оберона,Вирт Никлаус,ДМК-Пресс:Классика программирования,1 088,1 813,40
Искусство поиска решения в нестандартной задаче,Потопахин Виталий Валерьевич,ДМК-Пресс:Прикладное программирование,1 340,2 233,40
Программирование на Python для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих,922,Нету старой цены,Нету скидки
,,,0,Нету старой цены,Нету скидки
Применение Web-стандартов. CSS и Ajax для больших сайтов,Шмитт Кристофер и др.,Корона-Принт,223,372,40
Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE,Пьявченко Тамила Алексеевна,Лань:Учебники для вузов. Специальная литература,2 621,Нету старой цены,Нету скидки
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход,Гэртнер Маркус,ДМК-Пресс,1 088,1 813,40
Читаем Тьюринга. Путешествие по исторической статье Тьюринга о вычислимости и машинах Тьюринга,Петцольд Чарльз,ДМК-Пресс:Классика программирования,1 841,3 069,40
Шейдеры и эффекты в Unity. Книга рецептов,Ламмерс Кенни,ДМК-Пресс,1 256,2 093,40
JavaScript и jQuery. Исчерпывающее руководство,Макфарланд Дэвид,Эксмо:Мировой компьютерный бестселлер,2 427,Нету старой цены,Нету скидки
Полезное программирование. Уникальное руководство,Комлев Николай Юрьевич,Солон-пресс:Библиотека профессионала,838,1 397,40
Visual FoxPro 9.0. Учебный курс,Мусина Т.В.,Корона-Принт,507,845,40
MATLAB и SIMULINK для радиоинженеров,Дьяконов Владимир Павлович,ДМК-Пресс:Математика и Matlab,2 177,3 628,40
Справочник по языку Haskell,Душкин Роман Викторович,ДМК-Пресс:,1 088,1 813,40
Программирование на ассемблере на платформе x86-64,Аблязов Руслан Зуфярович,ДМК-Пресс,1 423,2 372,40
Семантический веб,Антониоу Григорис и др.,ДМК-Пресс,1 004,1 674,40
Функциональное программирование на языке Haskell,Душкин Роман Викторович,ДМК-Пресс,1 172,1 953,40
Программирование на языке Go. Разработка приложений XXI века,Саммерфильд Марк,ДМК-Пресс:Профессиональное программирование,1 841,3 069,40
,,,0,Нету старой цены,Нету скидки
Разработка программного обеспечения: управление изменениями,"Белладжио Дэвид, Миллиган Том",ДМК-Пресс:,697,1 162,40
От математики к обобщенному программированию,"Степанов Александр, Роуз Дэниэл Э.",ДМК-Пресс,1 508,2 513,40
Изучаем программирование на JavaScript,"Фримен Эрик, Робсон Элизабет",Питер:Head First (O'Reilly),2 735,3 506,22
Путь Ruby,"Фултон Хэл, Арко Андрэ",ДМК-Пресс:Профессиональная серия программиста,2 345,3 908,40
Программирование на Objective-C,Кочан Стивен,Эком:Библиотека разработчика,1 676,2 794,40
Изучаем Spark,Карау Холден и др.,ДМК-Пресс,1 423,2 372,40
Статистический анализ и визуализация данных с помощью R,"Мастицкий Сергей Эдуардович, Шитиков Владимир",ДМК-Пресс,1 676,2 793,40
LLVM. Инфраструктура для разработки компиляторов,"Кардос Лопес Бруно, Аулер Рафаэль",ДМК-Пресс,1 423,2 372,40
OpenGL ES 3.0. Руководство разработчика,"Гинсбург Дэн, Пурномо Будирижанто",ДМК-Пресс,2 177,3 628,40
Современный Фортран на практике,Маркус Арьен,ДМК-Пресс,1 256,2 093,40
Программирование в Clojure. Практика применения Lisp в мире Java,Эмерик Чаз и др.,ДМК-Пресс:Функциональное программирование,2 848,4 746,40
Квантовые вычисления и функциональное программирование,Душкин Роман Викторович,ДМК-Пресс,922,1 536,40
Создание облачных и мобильных приложений на языке F#,Мол Дэниел,ДМК-Пресс:Функциональное программирование,669,1 115,40
OpenGL 4. Язык шейдеров. Книга рецептов,Вольф Дэвид,ДМК-Пресс,2 009,3 349,40
"Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца",Максфилд Клайв,ДМК-Пресс:Программируемые системы,1 676,2 793,40
Программирование микроконтроллеров ATMEL на языке C,Прокопенко Вадим Сергеевич,Корона-Принт,845,1 408,40
Семь моделей конкуренции и параллелизма за семь недель,Батчер Пол,ДМК-Пресс,1 508,2 513,40
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla,Волков Владимир Юрьевич,Лань,1 640,Нету старой цены,Нету скидки
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.,Клейн Тобиас,ДМК-Пресс,1 340,2 233,40
Введение в UML от создателей языка,Рамбо Джеймс и др.,ДМК-Пресс:Классика программирования,1 508,2 513,40
Технологии программирования на Java 2. Распределенные приложения,Дейтел Харви и др.,Бином,562,937,40
Silverlight 4. Создание насыщенных Web-приложений,Байдачный Сергей Сергеевич,Солон-пресс:Библиотека профессионала,443,739,40
EJB 3 в действии,Панда Дебу и др.,ДМК-Пресс:Программирование в действии,1 676,2 793,40
Программирование для AutoCAD 2013-2015,Полещук Николай Николаевич,ДМК-Пресс:САПР от А до Я,922,1 536,40
"Обработка неструктурированных текстов. Поиск, организация и манипулирование",Ингерсолл Грант С. и др.,ДМК-Пресс:Программирование в действии,1 256,2 093,40
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell,Бёрд Ричард,ДМК-Пресс,1 423,2 372,40
Асинхронное программирование в C# 5.0,Дэвис Алекс,ДМК-Пресс,586,976,40
"Программирование в Delphi для Windows: Версии 2006, 2007, Turbo Delphi (+СD)",Архангельский Алексей Яковлевич,Бином:,1 126,1 876,40
Практика программирования на языке Паскаль. Задачи и решения,Медведик Владимир Иванович,ДМК-Пресс,1 676,2 793,40
Методы обработки и распознавания изображений лиц в задачах биометрии,Кухарев Георгий Александрович и др.,Политехника,1 257,Нету старой цены,Нету скидки
Эффективные технологии создания информационных систем,"Мещеряков Сергей Владимирович, Иванов Владимир Михайлович",Политехника,601,Нету старой цены,Нету скидки
Введение в теорию языков программирования,"Довек Жиль, Леви Жан-Жак",ДМК-Пресс,669,1 115,40
Программирование на языке OCaml,Мински Ярон и др.,ДМК-Пресс:Функциональное программирование,1 676,2 793,40
CUDA Fortran для инженеров и научных работников. Рекомендации по эффективному программированию,"Рутш Грегори, Фатика Массимилиано",ДМК-Пресс,1 004,1 674,40
Платформа Windows Azure,"Редкар Теджасви, Тони Гвидичи",ДМК-Пресс,1 340,2 233,40
"За пределами ""Linux с нуля"". Версия 7.4. Том 2",,ДМК-Пресс,1 340,2 233,40
.NET Сетевое программирование,Кумар Винод и др.,Лори,1 049,1 749,40
Моделирование электротехнических устройств в MATLAB. SimPowerSystems и Simulink,Черных Илья Викторович,ДМК-Пресс:Проектирование,669,1 115,40
Java. Эффективное программирование,Блох Джошуа,Лори,928,1 546,40
Разработка веб-приложений с использованием AngularJS,"Козловский Павел, Бэкон Дарвин Питер",ДМК-Пресс,1 088,1 813,40
LabVIEW. Практический курс для инженеров и разработчиков,Магда Юрий Степанович,ДМК-Пресс:Все о LabVIEW,837,1 395,40
